|arrests|tags|stems
3033|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3034|DUI|DUI|dui
3035|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3036|NO PROOF OF INSURANCE|Insurance|proof insur
3037|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
3038|WALK ON ROADWAY WHEN SIDEWALK PROVIDED|Vehicle / Traffic Violation|walk roadway sidewalk provid
3039|CRIMINAL TRESPASS|Trespass|crimin trespass
3040|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3041|DUI|DUI|dui
3042|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3043|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
3044|HIT AND RUN FIXED OBJECT|Hit and Run|hit run fix object
3045|PETIT THEFT|Theft|petit theft
3046|CRIMINAL TRESPASS|Trespass|crimin trespass
3047|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3048|TRESPASS|Trespass|trespass
3049|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
3050|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3051|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3052|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3053|PETIT THEFT|Theft|petit theft
3054|BURGLARY NON RESIDENCE|Burglary|burglari non resid
3055|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
3056|LARCENY B FROM BUILDING|Larceny|larceni b build
3057|PETIT THEFT|Theft|petit theft
3058|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
3059|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License|restrict licens suspend revok
3060|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
3061|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3062|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3063|BURGLARY NON RESIDENCE|Burglary|burglari non resid
3064|LARCENY B FROM BUILDING|Larceny|larceni b build
3065|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
3066|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
3067|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3068|NO PROOF OF INSURANCE|Insurance|proof insur
3069|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
3070|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
3071|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3072|DUI|DUI|dui
3073|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
3074|BATTERY BODILY HARM|Battery|batteri bodili harm
3075|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3076|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
3077|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3078|CHILD ENDANGERMENT|Child Abuse|child endanger
3079|INTERFERE WITH PARENTAL CUSTODY|Obstruction|interfer parent custodi
3080|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
3081|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3082|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
3083|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3084|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
3085|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3086|BATTERY|Battery|batteri
3087|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3088|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3089|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3090|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
3091|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
3092|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
3093|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
3094|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
3095|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3096|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3097|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3098|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3099|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
3100|BATTERY|Battery|batteri
3101|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
3102|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3103|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3104|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
3105|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3106|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
3107|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
3108|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3109|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3110|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
3111|DISPLAY CANCELLED/REVOKED/SUSPENDED DRIVERS LICENSE|License|display cancel revok suspend driver licens
3112|RESIST POLICE/ARREST|Obstruction|resist polic arrest
3113|TRESPASS|Trespass|trespass
3114|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3115|DUI|DUI|dui
3116|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3117|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3118|AGGRAVATED ASSAULT|Assault|aggrav assault
3119|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
3120|FORCIBLE RAPE|Rape|forcibl rape
3121|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
3122|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3123|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
3124|OPERATE VEHICLE WITHOUT REQUIRED INTERLOCK DEVICE|DUI|oper vehicl without requir interlock devic
3125|AGGRAVATED ASSAULT|Assault|aggrav assault
3126|AGGRAVATED ASSAULT|Assault|aggrav assault
3127|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3128|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3129|CRIMINAL TRESPASS|Trespass|crimin trespass
3130|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3131|PETIT THEFT|Theft|petit theft
3132|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3133|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3134|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3135|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
3136|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3137|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3138|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3139|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3140|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3141|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3142|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3143|BURGLARY NON RESIDENCE|Burglary|burglari non resid
3144|LARCENY B ALL OTHER|Larceny|larceni b
3145|CRIMINAL TRESPASS|Trespass|crimin trespass
3146|CRIMINAL TRESPASS|Trespass|crimin trespass
3147|IDENTITY THEFT|Fraud|ident theft
3148|MAKING FALSE WRITING|Fraud|make fals write
3149|CHECKS FORGED OR FICTITIOUS|Fraud|check forg fictiti
3150|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3151|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3152|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3153|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3154|PETIT THEFT|Theft|petit theft
3155|PETIT THEFT|Theft|petit theft
3156|PETIT THEFT|Theft|petit theft
3157|PETIT THEFT|Theft|petit theft
3158|AGGRAVATED ASSAULT|Assault|aggrav assault
3159|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3160|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
3161|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3162|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3163|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3164|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
3165|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
3166|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3167|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3168|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
3169|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3170|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
3171|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3172|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3173|BATTERY BODILY HARM|Battery|batteri bodili harm
3174|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3175|PETIT THEFT|Theft|petit theft
3176|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3177|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
3178|CRIMINAL TRESPASS|Trespass|crimin trespass
3179|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
3180|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3181|AGGRAVATED BATTERY,|Battery|aggrav batteri
3182|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
3183|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
3184|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3185|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3186|DUI|DUI|dui
3187|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3188|SPEED OVER LIMIT|Speed Limit|speed limit
3189|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
3190|NO DRIVER'S LICENSE|License|driver licens
3191|NO PROOF OF INSURANCE|Insurance|proof insur
3192|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft|petit theft contain stolen properti
3193|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3194|NO PROOF OF INSURANCE|Insurance|proof insur
3195|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3196|DISPLAY ALTERED TAG|Vehicle / Traffic Violation|display alter tag
3197|SPEED 30 MPH|Speed Limit|speed mph
3198|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
3199|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
3200|CHILD ENDANGERMENT|Child Abuse|child endanger
3201|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3202|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
3203|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3204|TRAFFIC LAWS APPLY TO BIKE RIDERS|Vehicle / Traffic Violation|traffic law appli bike rider
3205|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3206|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
3207|AGGRAVATED ASSAULT|Assault|aggrav assault
3208|DUI|DUI|dui
3209|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3210|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
3211|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3212|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3213|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3214|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3215|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
3216|DRIVE RIGHT SIDE/2 LANE|Vehicle / Traffic Violation|drive right side lane
3217|NO PROOF OF INSURANCE|Insurance|proof insur
3218|RENDER AID OR GIVE INFORMATION|Hit and Run|render aid give inform
3219|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
3220|SPEED OVER LIMIT|Speed Limit|speed limit
3221|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
3222|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3223|DUI|DUI|dui
3224|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3225|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3226|NO PROOF OF INSURANCE|Insurance|proof insur
3227|NO DRIVER'S LICENSE|License|driver licens
3228|YIELD RIGHT OF WAY LEFT TURN|Vehicle / Traffic Violation|yield right way left turn
3229|BATTERY BODILY HARM|Battery|batteri bodili harm
3230|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3231|AGGRAVATED BATTERY,|Battery|aggrav batteri
3232|AGGRAVATED ASSAULT|Assault|aggrav assault
3233|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3234|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3235|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
3236|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3237|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3238|BATTERY BODILY HARM|Battery|batteri bodili harm
3239|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3240|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
3241|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3242|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
3243|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
3244|NO DRIVER'S LICENSE|License|driver licens
3245|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3246|NO PROOF OF INSURANCE|Insurance|proof insur
3247|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3248|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3249|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3250|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3251|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
3252|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3253|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3254|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3255|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3256|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3257|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3258|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3259|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3260|VIOLATION OF COURT ORDER/CASE PENDING|Court Order|violat court order case pend
3261|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3262|VIOLATION OF COURT ORDER/CASE PENDING|Court Order|violat court order case pend
3263|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3264|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3265|RAPE CHILD 13 AND UNDER|Rape|rape child
3266|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3267|DRIVE ON SIDEWALK|Vehicle / Traffic Violation|drive sidewalk
3268|DUI|DUI|dui
3269|FAILURE TO DRIVE WITHIN MARKED LANE|Vehicle / Traffic Violation|failur drive within mark lane
3270|PETIT THEFT|Theft|petit theft
3271|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3272|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
3273|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
3274|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3275|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3276|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
3277|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3278|ASSAULT|Assault|assault
3279|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery|robberi commerci hous aggrav
3280|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
3281|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
3282|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
3283|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
3284|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
3285|POSSESSION OF ILLEGAL WEAPONS|Weapons|possess illeg weapon
3286|LAMPS, BRAKES, AND OTHER EQUIPMENT|Vehicle / Traffic Violation|lamp brake equip
3287|UNLAWFUL USE FINANCIAL CARD|Fraud|unlaw use financi card
3288|LARCENY A ALL OTHER $1500+|Larceny|larceni
3289|CRIMINAL TRESPASS|Trespass|crimin trespass
3290|CRIMINAL TRESPASS|Trespass|crimin trespass
3291|AGGRAVATED ASSAULT|Assault|aggrav assault
3292|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
3293|INTIMIDATION|Intimidation|intimid
3294|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3295|DUI|DUI|dui
3296|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3297|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
3298|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3299|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3300|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3301|STOLEN PROPERTY BUYING|Theft|stolen properti buy
3302|BATTERY|Battery|batteri
3303|ROBBERY FROM PERSON|Robbery|robberi person
3304|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
3305|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3306|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3307|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3308|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
3309|ASSAULT/BATTERY|Assault|assault batteri
3310|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
3311|HIT AND RUN|Hit and Run|hit run
3312|NO DRIVER'S LICENSE|License|driver licens
3313|BATTERY|Battery|batteri
3314|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3315|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
3316|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3317|AGGRAVATED BATTERY,|Battery|aggrav batteri
3318|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3319|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3320|RUNAWAY|Runaway|runaway
3321|STOLEN PROPERTY BUYING|Theft|stolen properti buy
3322|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
3323|AGGRAVATED BATTERY,|Battery|aggrav batteri
3324|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3325|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
3326|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
3327|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3328|VIOLATION OF PROTECTION FROM ABUSE|Court Order|violat protect abus
3329|AGGRAVATED ASSAULT|Assault|aggrav assault
3330|BATTERY|Battery|batteri
3331|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3332|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3333|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3334|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
3335|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
3336|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3337|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
3338|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3339|THEFT LOST/MISLAID PROPERTY|Theft|theft lost mislaid properti
3340|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft|petit theft contain stolen properti
3341|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft|petit theft contain stolen properti
3342|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3343|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
3344|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
3345|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3346|RUNAWAY|Runaway|runaway
3347|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms|crimin possess firearm juvenil
3348|RUNAWAY|Runaway|runaway
3349|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
3350|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
3351|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3352|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3353|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3354|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
3355|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
3356|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3357|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
